FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
69,E07000242,East Hertfordshire,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
70,E07000243,Stevenage,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
71,E07000244,East Suffolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
72,E07000245,West Suffolk,E45000017,X25002AG,East of England,E46000002,X25002,Midlands and East of England
73,E06000001,Hartlepool,E45000009,X25003AE,North East,E46000003,X25003,North of England
74,E06000002,Middlesbrough,E45000009,X25003AE,North East,E46000003,X25003,North of England
75,E06000003,Redcar and Cleveland,E45000009,X25003AE,North East,E46000003,X25003,North of England
76,E06000004,Stockton-on-Tees,E45000009,X25003AE,North East,E46000003,X25003,North of England
77,E06000005,Darlington,E45000009,X25003AE,North East,E46000003,X25003,North of England
78,E06000047,County Durham,E45000009,X25003AE,North East,E46000003,X25003,North of England
79,E06000057,Northumberland,E45000009,X25003AE,North East,E46000003,X25003,North of England
80,E08000021,Newcastle upon Tyne,E45000009,X25003AE,North East,E46000003,X25003,North of England
81,E08000022,North Tyneside,E45000009,X25003AE,North East,E46000003,X25003,North of England
82,E08000023,South Tyneside,E45000009,X25003AE,North East,E46000003,X25003,North of England
83,E06000041,Wokingham,E45000019,X25004AH,South East,E46000004,X25004,South of England
84,E06000043,Brighton and Hove,E45000019,X25004AH,South East,E46000004,X25004,South of England
85,E06000044,Portsmouth,E45000019,X25004AH,South East,E46000004,X25004,South of England
86,E09000015,Harrow,E45000001,X25001AA,London,E46000001,X25001,London
87,E06000045,Southampton,E45000019,X25004AH,South East,E46000004,X25004,South of England
88,E09000016,Havering,E45000001,X25001AA,London,E46000001,X25001,London
89,E06000046,Isle of Wight,E45000019,X25004AH,South East,E46000004,X25004,South of England
90,E09000017,Hillingdon,E45000001,X25001AA,London,E46000001,X25001,London
91,E07000004,Aylesbury Vale,E45000019,X25004AH,South East,E46000004,X25004,South of England
92,E09000018,Hounslow,E45000001,X25001AA,London,E46000001,X25001,London
93,E07000005,Chiltern,E45000019,X25004AH,South East,E46000004,X25004,South of England
94,E09000019,Islington,E45000001,X25001AA,London,E46000001,X25001,London
95,E07000006,South Bucks,E45000019,X25004AH,South East,E46000004,X25004,South of England
96,E09000020,Kensington and Chelsea,E45000001,X25001AA,London,E46000001,X25001,London
97,E07000007,Wycombe,E45000019,X25004AH,South East,E46000004,X25004,South of England
98,E09000021,Kingston upon Thames,E45000001,X25001AA,London,E46000001,X25001,London
99,E07000061,Eastbourne,E45000019,X25004AH,South East,E46000004,X25004,South of England
100,E09000022,Lambeth,E45000001,X25001AA,London,E46000001,X25001,London
